author,category,description,name,price,priceCurrency,ratingValue,pert_alcohol
Jonny McCormick,Blended Scotch Whisky,"
Magnificently powerful and intense. Caramels, dried peats, elegant cigar smoke, seeds scraped from vanilla beans, brand new pencils, peppercorn, coriander seeds, and star anise make for a deeply satisfying nosing experience. Silky caramels, bountiful fruits of ripe peach, stewed apple, orange pith, and pervasive smoke with elements of burnt tobacco. An abiding finish of smoke, dry spices, and banoffee pie sweetness. Close to perfection. Editor's Choice","Johnnie Walker Blue Label, 40%",225.0,$,97,40.0
John Hansell,Bourbon/Tennessee,"
A marriage of 13 and 18 year old bourbons. A mature yet very elegant whiskey, with a silky texture and so easy to embrace with a splash of water. Balanced notes of honeyed vanilla, soft caramel, a basket of complex orchard fruit, blackberry, papaya, and a dusting of cocoa and nutmeg; smooth finish. Sophisticated, stylish, with well-defined flavors. A classic!","Four Roses 2013 Limited Edition Small Batch, 51.5%",85.0,$,97,51.5
Dave Broom,Single Malt Scotch,"
There have been some legendary Bowmores from the mid-60s and this is every bit their equal. All of them share a remarkable aroma of tropical fruit, which here moves into hallucinatory intensity: guava, mango, peach, pineapple, grapefruit. There’s a very light touch of peat smoke, more a memory of Islay than the reality. Concentrated; even at low strength the palate is silky, heady, and haunting, and lasts forever in the dry glass. A legend is born. (Eight bottles only for the U.S.) Editor's Choice.","Bowmore 46 year old (distilled 1964), 42.9%",13500.0,$,97,42.9
John Hansell,Bourbon/Tennessee,"
This bottling celebrates master distiller Parker Beam's 50 years of service by including whiskey from each of the past five decades. This is a fabulous whiskey: seamless and incredibly complex, with an impeccable marriage of youth and maturity. It’s also very even-keeled throughout -- quite different than last year’s equally impressive PHC, a 27 year old, whose personality was more like an exhilarating old wooden rollercoaster ride (and also brandished more oak). Look for candied citrus, nectarine, blueberry, and sultana anchored by a nougat center, laced with honeyed vanilla and orange creamsicle. There’s a dusting of cocoa powder, brittle mint, and cinnamon, too. Tobacco leaves, polished leather, and teasing bourbon barrel char round out the palate, emerging more prominently towards a warming finish. A classic!","Parker's Heritage Collection, 'Golden Anniversary', 50%",150.0,$,97,50.0
John Hansell,Single Malt Scotch,"
What impresses me most is how this whisky evolves; it's incredibly complex. On the nose and palate, this is a thick, viscous, whisky with notes of sticky toffee, earthy oak, fig cake, roasted nuts, fallen fruit, pancake batter, black cherry, ripe peach, dark chocolate-covered espresso bean, polished leather, tobacco, a hint of wild game, and lingering, leafy damp kiln smoke. Flavors continue on the palate long after swallowing. This is what we all hope for (and dream of) in an older whisky!","Black Bowmore, 1964 vintage, 42 year old, 40.5%",4500.0,$,97,40.5
Jonny McCormick,Japanese,"
When whisky lovers talk about the grandeur of Japanese whisky, the enlightenment they desire can be found within this bottle. A refined luxury evocative of toasted marshmallow, sweet incense, butter-soft caramels, oak spices, and ground cinnamon. All the hallmarks of mizunara are here. Concentrated sweet citrus, so intensely fruity on the palate; the mouthfeel is rapturously silky with touches of mango, dried apricot, and gentle but resilient spices.","Yamazaki Mizunara Cask 18 year old 2017 Edition, 48%",,$,96,48.0
Davin de Kergommeaux,Canadian,"
After 40 years in barrels, the trademark Canadian Club dark fruit is as rich as ever. Reminiscent of raisin tarts with sprinkles of sweet baking spices, then strawberries and black pepper. Warming but never hot. No tannins, no woodiness; silky barrel tones are the only hint of oak, while soaring floral esters speak loudly of time in the barrel. The glowing, never-ending finish is spectacular. Canada’s Sesquicentennial Celebratory Release. C$250

 ","Canadian Club 40 year old, 45%",199.0,$,96,45.0
Jonny McCormick,Irish,"
Wow—the nose is spellbinding. An exuberant mix of heavy fruit and deep sweetness: crème brûlée, vanilla pod, fruit syrups, sticky jam tarts, and apricot stone. Silken mouthfeel, with orange flan and brown sugar, growing increasingly tangy, with peppery spice rippling over the tongue and hints of smoke at the end. Oak char and marzipan fruits on the finish. The bar has been set high for Irish whiskey this year. (5,000 bottles)","Teeling Vintage Reserve Collection 24 year old, 46%",499.0,$,96,46.0
Jonny McCormick,Grain Scotch Whisky,"
A remarkable beauty from the Angus town of Montrose. The elegant nose shows a dram at peace with itself; golden syrup, hay bales, ground hazelnut, liquid honey, French baguette, High Mountain oolong, and rubbed spice blends. Refreshing palate of honey, toffee, citrus, honeycomb wax, and a profusion of sweet vanilla. Rich, sweet oak and deep pepper notes to finish. Truly a sublime and venerable grain. (106 bottles) £2,400","The Last Drop (distilled at Lochside) 1972 (cask 346), 44%",3108.0,$,96,44.0
Fred Minnick,Bourbon/Tennessee,"
A caramel-laden fruit bouquet, followed by unending vanilla, leather, tobacco, cotton candy, marshmallow, quince, cinnamon, hints of juniper, and wildflowers. Then, brown sugar butter and maple syrup over buttermilk pancakes, Cracker Jack, raw honey, bittersweet chocolate, and hints of pecan shell. Extremely long finish with a fried apple pie note. An incredibly complex and intense, must-have sipper. Perfection.","Four Roses 2017 Small Batch Limited Edition Al Young’s 50th Anniversary, 54.49%",150.0,$,96,54.49
